time,T2939,T5197,T6358,T7847,T8895,T9681,T10390,T11229,T11707,T12049,T12242
21038401.00000,13.36643416,19.53310799,20.80983666,18.84713011,16.18558989,15.99990964,15.99994719,15.99998716,15.99999688,15.99999919,15.99998680
22353301.00000,11.74977947,17.76275269,20.60545509,19.24064269,16.28552236,16.00001533,15.99994470,15.99998633,15.99999662,15.99999903,15.99998694
23668201.00000,11.20498723,15.78872218,20.10115766,19.58744251,16.41897490,16.00024399,15.99994202,15.99998549,15.99999634,15.99999887,15.99998707
24983101.00000,11.05144177,14.06208514,19.25557808,19.86915975,16.58889511,16.00070773,15.99993912,15.99998465,15.99999605,15.99999871,15.99998719
26298001.00000,11.01227402,12.79512934,18.11956641,20.06170700,16.79597476,16.00159886,15.99993595,15.99998380,15.99999575,15.99999855,15.99998730
27612901.00000,11.00273942,11.98035925,16.82334396,20.14267115,17.03835164,16.00323143,15.99993250,15.99998295,15.99999545,15.99999840,15.99998740
28927801.00000,11.00044028,11.50651767,15.52353421,20.11170659,17.31149030,16.00609229,15.99992873,15.99998209,15.99999513,15.99999824,15.99998751
30242701.00000,10.99987872,11.25125963,14.35008463,19.99896357,17.60821706,16.01089896,15.99992473,15.99998124,15.99999482,15.99999809,15.99998761
31557601.00000,10.99973546,11.12138869,13.37836508,19.70679819,17.91847376,16.01865692,15.99992064,15.99998038,15.99999450,15.99999794,15.99998771
32872501.00000,15.12067296,11.40831353,12.64095006,19.22151262,18.22915199,16.03070689,15.99991660,15.99997952,15.99999417,15.99999780,15.99998782
34187401.00000,18.63221214,12.48611453,12.18515709,18.57500480,18.52444237,16.04875099,15.99991311,15.99997867,15.99999384,15.99999766,15.99998792
35502301.00000,20.24890619,14.24437333,12.08442303,17.80873161,18.78644272,16.07484807,15.99991027,15.99997782,15.99999351,15.99999752,15.99998802
36817201.00000,20.79372971,16.21308226,12.30006874,16.97258765,18.99712973,16.11136915,15.99990763,15.99997698,15.99999318,15.99999737,15.99998813
38132101.00000,20.94730456,17.93745758,12.97384958,16.12460512,19.14105991,16.16090803,15.99990565,15.99997614,15.99999284,15.99999724,15.99998824
39447001.00000,20.98649587,19.20347183,14.01504487,15.32873865,19.21199859,16.22613424,15.99990412,15.99997531,15.99999250,15.99999710,15.99998835
40761901.00000,20.99605380,20.01784857,15.25701683,14.65560490,19.20210484,16.30958964,15.99990348,15.99997449,15.99999215,15.99999696,15.99998846
42076801.00000,20.99837022,20.49151842,16.52537163,14.16803697,19.15786416,16.41342837,15.99990447,15.99997368,15.99999181,15.99999682,15.99998857
43391701.00000,20.99894551,20.74669474,17.68021959,13.90484411,19.05298551,16.53903366,15.99990831,15.99997287,15.99999145,15.99999668,15.99998868
44706601.00000,20.99909488,20.87652217,18.64062041,13.88551306,18.83069361,16.68660904,15.99991709,15.99997207,15.99999110,15.99999654,15.99998879
46021501.00000,20.99913959,20.93994983,19.38292539,13.99157220,18.49146593,16.85476069,15.99993479,15.99997128,15.99999074,15.99999641,15.99998890
47336401.00000,20.99915657,20.97015835,19.92359633,14.25966089,18.06222255,17.03989806,15.99997016,15.99997050,15.99999038,15.99999627,15.99998901
48651301.00000,20.99916808,20.98438408,20.29876720,14.76535314,17.57740492,17.23619672,16.00003460,15.99996972,15.99999001,15.99999613,15.99998912
49966201.00000,20.99917668,20.99111312,20.54951737,15.43281310,17.07329910,17.43667805,16.00014583,15.99996895,15.99998964,15.99999599,15.99998923
51281101.00000,16.87819974,20.63551669,20.69797621,16.17681977,16.58689613,17.63060477,16.00033087,15.99996818,15.99998926,15.99999584,15.99998935
52596001.00000,13.36664333,19.53227907,20.70654789,16.93225310,16.15319708,17.80810466,16.00063039,15.99996741,15.99998889,15.99999570,15.99998946
53910901.00000,11.74994926,17.76257859,20.55820110,17.65187853,15.80117393,17.96244339,16.00110452,15.99996665,15.99998850,15.99999556,15.99998957
55225801.00000,11.20513614,15.78884245,20.07455071,18.30118907,15.55458821,18.08583443,16.00184059,15.99996588,15.99998811,15.99999542,15.99998968
56540701.00000,11.05157950,14.06230996,19.23945624,18.85262010,15.41309243,18.17108094,16.00296319,15.99996511,15.99998772,15.99999527,15.99998979
57855601.00000,11.01240583,12.79537334,18.10938639,19.27796157,15.37919954,18.21993226,16.00464665,15.99996433,15.99998733,15.99999513,15.99998991
59170501.00000,11.00286645,11.98059280,16.81672971,19.54550059,15.41523017,18.22828094,16.00712952,15.99996355,15.99998693,15.99999498,15.99999002
60485401.00000,11.00056317,11.50673603,15.51914442,19.63701000,15.50373089,18.21858084,16.01073106,15.99996276,15.99998652,15.99999483,15.99999013
61800301.00000,10.99999810,11.25146609,14.34712791,19.58450506,15.67254012,18.19580799,16.01586771,15.99996197,15.99998611,15.99999468,15.99999024
63115201.00000,10.99985381,11.12158741,13.37636018,19.42392273,15.96729115,18.15118897,16.02306687,15.99996116,15.99998570,15.99999453,15.99999035
64430101.00000,15.12080917,11.40851150,12.63958821,19.04808578,16.35046592,18.07695355,16.03297760,15.99996034,15.99998528,15.99999438,15.99999046
65745001.00000,18.63237918,12.48629579,12.18422919,18.46464816,16.77649204,17.96276745,16.04636748,15.99995950,15.99998486,15.99999423,15.99999057
67059901.00000,20.24909129,14.24455563,12.08376566,17.73485224,17.20289733,17.80152170,16.06410022,15.99995863,15.99998443,15.99999408,15.99999068
68374801.00000,20.79391968,16.21328311,12.29943689,16.92172983,17.59311911,17.60590487,16.08709639,15.99995774,15.99998400,15.99999393,15.99999079
69689701.00000,20.94749161,17.93768775,12.97359603,16.08905877,17.91900067,17.39495896,16.11629489,15.99995682,15.99998356,15.99999377,15.99999089
71004601.00000,20.98667832,19.20373151,14.01496267,15.30374792,18.15389613,17.18826288,16.15257238,15.99995588,15.99998312,15.99999362,15.99999100
72319501.00000,20.99623058,20.01813060,15.25704155,14.63791199,18.29323301,17.00041955,16.19664232,15.99995490,15.99998267,15.99999346,15.99999111
73634401.00000,20.99854262,20.49181345,16.52547469,14.15546167,18.33108299,16.84232037,16.24896742,15.99995389,15.99998222,15.99999331,15.99999121
74949301.00000,20.99911378,20.74699473,17.68038685,13.89578860,18.29764864,16.72637315,16.30965538,15.99995283,15.99998177,15.99999315,15.99999132
76264201.00000,20.99925970,20.87682162,18.64084156,13.87896137,18.21103230,16.65133436,16.37830738,15.99995172,15.99998131,15.99999299,15.99999142
77579101.00000,20.99930007,20.94024522,19.38319037,13.98560976,18.03783664,16.61586328,16.45403328,15.99995062,15.99998084,15.99999284,15.99999152
78894001.00000,20.99931306,20.97044779,19.92389452,14.25542572,17.73275699,16.62028407,16.53551442,15.99994952,15.99998037,15.99999268,15.99999162
80208901.00000,20.99931994,20.98466657,20.29908846,14.76337507,17.33385178,16.63231302,16.62116594,15.99994844,15.99997990,15.99999252,15.99999173
81523801.00000,20.99932455,20.99138808,20.54985284,15.43181563,16.88936587,16.65820060,16.70922298,15.99994736,15.99997942,15.99999236,15.99999183
82838701.00000,16.87832843,20.63578479,20.69831776,16.17621986,16.44625705,16.70249917,16.79737061,15.99994629,15.99997893,15.99999220,15.99999193
84153601.00000,13.36674485,19.53254451,20.70689524,16.93188434,16.04499293,16.76767800,16.88295389,15.99994525,15.99997844,15.99999204,15.99999203
85468501.00000,11.75003137,17.76283523,20.55855106,17.65168930,15.71780964,16.85205147,16.96385064,15.99994427,15.99997795,15.99999188,15.99999212
86783401.00000,11.20520843,15.78907911,20.07490445,18.30114409,15.48930347,16.95440153,17.03852517,15.99994339,15.99997745,15.99999172,15.99999222
88098301.00000,11.05164671,14.06251868,19.23981309,18.85269017,15.36181474,17.06010163,17.10596463,15.99994265,15.99997695,15.99999155,15.99999232
89413201.00000,11.01247019,12.79555340,18.10974022,19.27812195,15.33964274,17.15013173,17.16548667,15.99994192,15.99997644,15.99999139,15.99999241
90728101.00000,11.00292858,11.98074852,16.81707114,19.54573302,15.37784581,17.21314162,17.21590118,15.99994122,15.99997592,15.99999122,15.99999251
92043001.00000,11.00062363,11.50687358,15.51946428,19.63729718,15.47172179,17.24611822,17.25624818,15.99994055,15.99997540,15.99999106,15.99999260
93357901.00000,11.00005683,11.25159098,14.34741981,19.58481243,15.65497857,17.24448315,17.28713611,15.99993993,15.99997488,15.99999089,15.99999269
94672801.00000,10.99991238,11.12170372,13.37662184,19.42425516,15.95964639,17.23528570,17.30967580,15.99993939,15.99997435,15.99999073,15.99999278
95987701.00000,15.12087592,11.40861397,12.63982045,19.04846292,16.34785410,17.21195739,17.32472477,15.99993896,15.99997382,15.99999056,15.99999287
97302601.00000,18.63246188,12.48639009,12.18443298,18.46505118,16.77560373,17.16924290,17.33302045,15.99993870,15.99997328,15.99999039,15.99999296
98617501.00000,20.24918404,14.24464830,12.08394209,17.73526378,17.20243834,17.10143485,17.33528364,15.99993862,15.99997273,15.99999022,15.99999305
99932401.00000,20.79401561,16.21338429,12.29959480,16.92213850,17.59273887,17.00055392,17.33285820,15.99993880,15.99997219,15.99999005,15.99999313
101247301.0000,20.94758651,17.93780430,12.97372809,16.08945510,17.91868588,16.87885224,17.32933983,15.99993938,15.99997164,15.99998988,15.99999322
102562201.0000,20.98677118,19.20386423,14.01508124,15.30412432,18.15368152,16.75126039,17.32494355,15.99994053,15.99997108,15.99998971,15.99999330
103877101.0000,20.99632085,20.01827595,15.25715726,14.63826098,18.29312421,16.63059579,17.31921623,15.99994260,15.99997052,15.99998954,15.99999339
105192001.0000,20.99863092,20.49196648,16.52559678,14.15577638,18.33108539,16.53232330,17.31193891,15.99994603,15.99996996,15.99998936,15.99999347
106506901.0000,20.99920027,20.74715108,17.68052152,13.89606713,18.29766966,16.46483592,17.30315703,15.99995140,15.99996940,15.99998919,15.99999355
107821801.0000,20.99934473,20.87697828,18.64099113,13.87920371,18.21111623,16.42897130,17.29310758,15.99995952,15.99996883,15.99998902,15.99999363
109136701.0000,20.99938322,20.94040026,19.38335410,13.98583795,18.03807235,16.42955528,17.28213050,15.99997152,15.99996826,15.99998884,15.99999371
110451601.0000,20.99939446,20.97060017,19.92406966,14.25562187,17.73309555,16.43829702,17.27057901,15.99998891,15.99996768,15.99998867,15.99999379
111766501.0000,20.99939926,20.98481577,20.29927173,14.76353530,17.33424919,16.46034715,17.25875253,16.00001378,15.99996710,15.99998849,15.99999386
113081401.0000,20.99940208,20.99153381,20.55004070,15.43195781,16.88978403,16.50123508,17.24681070,16.00004893,15.99996652,15.99998832,15.99999394
114396301.0000,16.87839738,20.63592809,20.69850672,16.17635632,16.44667505,16.56567441,17.23404948,16.00009808,15.99996593,15.99998814,15.99999401
115711201.0000,13.36679961,19.53268820,20.70708674,16.93202289,16.04539908,16.66267620,17.22035036,16.00016616,15.99996535,15.99998796,15.99999408
117026101.0000,11.75007554,17.76297590,20.55874457,17.65183484,15.71819616,16.78222969,17.20584580,16.00025960,15.99996475,15.99998778,15.99999415
118341001.0000,11.20524721,15.78920995,20.07509963,18.30129979,15.48966989,16.90922531,17.19054343,16.00038670,15.99996416,15.99998761,15.99999422
119655901.0000,11.05168283,14.06263457,19.24001096,18.85285788,15.36215805,17.03037804,17.17434209,16.00055809,15.99996356,15.99998743,15.99999429
120970801.0000,11.01250488,12.79565346,18.10993770,19.27830243,15.33995842,17.12950024,17.15707478,16.00078719,15.99996296,15.99998725,15.99999436
122285701.0000,11.00296207,11.98083496,16.81726283,19.54592715,15.37815348,17.19760226,17.13855635,16.00109071,15.99996235,15.99998707,15.99999442
123600601.0000,11.00065643,11.50694987,15.51964459,19.63750404,15.47201184,17.23365858,17.11863186,16.00148923,15.99996174,15.99998689,15.99999449
124915501.0000,11.00008888,11.25166027,14.34758474,19.58502824,15.65522926,17.23281584,17.09726328,16.00200782,15.99996113,15.99998671,15.99999455
126230401.0000,10.99994391,11.12176839,13.37676980,19.42447882,15.95986662,17.22383952,17.07454810,16.00267652,15.99996051,15.99998653,15.99999461
127545301.0000,15.12091161,11.40867078,12.63995171,19.04869545,16.34805442,17.20143488,17.05069446,16.00353093,15.99995989,15.99998634,15.99999467
128860201.0000,18.63250688,12.48644165,12.18454782,18.46529073,16.77579415,17.16013129,17.02599180,16.00461253,15.99995927,15.99998616,15.99999473
130175101.0000,20.24923540,14.24469836,12.08404082,17.73550617,17.20262621,17.09550754,17.00105951,16.00596907,15.99995863,15.99998598,15.99999479
131490001.0000,20.79406932,16.21343923,12.29968265,16.92237885,17.59292987,16.99861173,16.97672077,16.00765467,15.99995800,15.99998580,15.99999484
132804901.0000,20.94764009,17.93786869,12.97380040,16.08968812,17.91888504,16.87943527,16.95364357,16.00972984,15.99995736,15.99998562,15.99999490
134119801.0000,20.98682393,19.20393893,14.01514527,15.30434538,18.15389173,16.75305210,16.93230862,16.01226110,15.99995671,15.99998543,15.99999495
135434701.0000,20.99637247,20.01835902,15.25721956,14.63846542,18.29334627,16.63263070,16.91307927,16.01532053,15.99995606,15.99998525,15.99999500
136749601.0000,20.99868167,20.49205498,16.52566326,14.15595972,18.33131946,16.53412920,16.89647634,16.01898500,15.99995541,15.99998507,15.99999505
138064501.0000,20.99925029,20.74724234,17.68059626,13.89622809,18.29790837,16.46634538,16.88299576,16.02333515,15.99995475,15.99998488,15.99999510
139379401.0000,20.99939418,20.87707045,18.64107580,13.87934209,18.21136250,16.43024444,16.87269004,16.02845407,15.99995409,15.99998470,15.99999515
140694301.0000,20.99943189,20.94049212,19.38344839,13.98596759,18.03833448,16.43063188,16.86517500,16.03442586,15.99995342,15.99998452,15.99999519
142009201.0000,20.99944238,20.97069105,19.92417197,14.25573181,17.73336854,16.43939184,16.86011634,16.04133398,15.99995275,15.99998433,15.99999522
143324101.0000,20.99944628,20.98490536,20.29938005,14.76362297,17.33452674,16.46140629,16.85721361,16.04925972,15.99995208,15.99998415,15.99999526
144639001.0000,20.99944831,20.99162190,20.55015282,15.43203422,16.89005947,16.50222288,16.85614947,16.05827860,15.99995140,15.99998396,15.99999529
145953901.0000,16.87843946,20.63601580,20.69862049,16.17642936,16.44694243,16.56639843,16.85639485,16.06845842,15.99995072,15.99998378,15.99999532
147268801.0000,13.36683332,19.53277748,20.70720320,16.93209773,16.04565392,16.66303503,16.85731012,16.07985817,15.99995003,15.99998359,15.99999535
148583701.0000,11.75010273,17.76306450,20.55886365,17.65191475,15.71843478,16.78237450,16.85816740,16.09252499,15.99994933,15.99998341,15.99999538
149898601.0000,11.20527108,15.78929314,20.07522142,18.30138702,15.48989294,16.90927088,16.85904716,16.10649269,15.99994863,15.99998322,15.99999540
151213501.0000,11.05170513,14.06270865,19.24013596,18.85295385,15.36236416,17.03040902,16.85976912,16.12178049,15.99994793,15.99998303,15.99999542
152528401.0000,11.01252639,12.79571757,18.11006378,19.27840792,15.34014503,17.12956073,16.86010253,16.13839235,15.99994721,15.99998285,15.99999544
153843301.0000,11.00298298,11.98089044,16.81738621,19.54604301,15.37833463,17.19770388,16.85989511,16.15631654,15.99994650,15.99998266,15.99999545
155158201.0000,11.00067703,11.50699892,15.51976133,19.63762994,15.47218079,17.23380047,16.85906959,16.17552570,15.99994577,15.99998247,15.99999547
156473101.0000,11.00010913,11.25170496,14.34769195,19.58516074,15.65537040,17.23299420,16.85758323,16.19597542,15.99994504,15.99998229,15.99999548
157788001.0000,10.99996394,11.12181029,13.37686622,19.42461827,15.95998679,17.22402659,16.85537814,16.21760498,15.99994430,15.99998210,15.99999549
159102901.0000,15.12093396,11.40870767,12.64003737,19.04884416,16.34816133,17.20163242,16.85234923,16.24033871,15.99994355,15.99998191,15.99999550
160417801.0000,18.63253545,12.48647490,12.18462276,18.46544665,16.77589493,17.16033937,16.84840164,16.26408745,15.99994278,15.99998172,15.99999550
161732701.0000,20.24926857,14.24473048,12.08410501,17.73566583,17.20272631,17.09572783,16.84361073,16.28875021,15.99994202,15.99998154,15.99999551
163047601.0000,20.79410438,16.21347475,12.29973963,16.92253851,17.59303348,16.99883484,16.83822450,16.31421609,15.99994127,15.99998135,15.99999551
164362501.0000,20.94767536,17.93791099,12.97384694,16.08984383,17.91899600,16.87965954,16.83248817,16.34034629,15.99994054,15.99998116,15.99999551
165677401.0000,20.98685889,19.20398877,14.01518620,15.30449365,18.15401224,16.75327676,16.82664540,16.36699247,15.99993982,15.99998097,15.99999551
166992301.0000,20.99640690,20.01841514,15.25725951,14.63860271,18.29347683,16.63285720,16.82133974,16.39400536,15.99993911,15.99998078,15.99999551
168307201.0000,20.99871574,20.49211536,16.52570649,14.15608262,18.33146048,16.53435201,16.81725452,16.42123631,15.99993841,15.99998059,15.99999551
169622101.0000,20.99928408,20.74730513,17.68064577,13.89633550,18.29805339,16.46656309,16.81445844,16.44854155,15.99993773,15.99998040,15.99999550
170937001.0000,20.99942778,20.87713430,18.64113289,13.87943367,18.21151450,16.43045335,16.81306407,16.47578410,15.99993707,15.99998021,15.99999550
172251901.0000,20.99946520,20.94055617,19.38351289,13.98605310,18.03850130,16.43082814,16.81305955,16.50283530,15.99993644,15.99998002,15.99999549
173566801.0000,20.99947537,20.97075482,19.92424275,14.25580372,17.73354622,16.43958349,16.81354783,16.52957610,15.99993582,15.99997983,15.99999548
174881701.0000,20.99947885,20.98496860,20.29945572,14.76367939,17.33471019,16.46159200,16.81448748,16.55589748,15.99993524,15.99997964,15.99999547
176196601.0000,20.99948052,20.99168449,20.55023178,15.43208285,16.89024341,16.50240142,16.81613253,16.58170122,15.99993468,15.99997944,15.99999546
177511501.0000,16.87846930,20.63607880,20.69870122,16.17647588,16.44712209,16.56657213,16.81858871,16.60689617,15.99993415,15.99997925,15.99999545
178826401.0000,13.36685740,19.53284233,20.70728652,16.93214599,16.04582566,16.66320802,16.82176157,16.63139185,15.99993367,15.99997906,15.99999543
180141301.0000,11.75012219,17.76312947,20.55894972,17.65196719,15.71859557,16.78254301,16.82556097,16.65511177,15.99993322,15.99997887,15.99999542
181456201.0000,11.20528819,15.78935454,20.07531037,18.30144540,15.49004290,16.90943393,16.83023011,16.67799344,15.99993284,15.99997868,15.99999540
182771101.0000,11.05172122,14.06276356,19.24022806,18.85301932,15.36250211,17.03056720,16.83509184,16.69998777,15.99993252,15.99997848,15.99999539
184086001.0000,11.01254198,12.79576523,18.11015734,19.27848123,15.34026905,17.12971713,16.83920556,16.72105469,15.99993227,15.99997829,15.99999537
185400901.0000,11.00299823,11.98093179,16.81747828,19.54612493,15.37845472,17.19785975,16.84226900,16.74115881,15.99993202,15.99997809,15.99999536
186715801.0000,11.00069209,11.50703560,15.51984880,19.63772037,15.47229211,17.23395728,16.84408345,16.76027491,15.99993178,15.99997790,15.99999534
188030701.0000,11.00012405,11.25173852,14.34777251,19.58525658,15.65546169,17.23315354,16.84455226,16.77838631,15.99993155,15.99997771,15.99999532
189345601.0000,10.99997876,11.12184190,13.37693886,19.42472037,15.96006299,17.22418650,16.84416699,16.79544982,15.99993133,15.99997751,15.99999530
190660501.0000,15.12095037,11.40873565,12.64010203,19.04895522,16.34822815,17.20179370,16.84337617,16.81135289,15.99993113,15.99997732,15.99999528
191975401.0000,18.63255663,12.48650010,12.18467938,18.46556456,16.77595776,17.16050232,16.84192503,16.82614320,15.99993095,15.99997712,15.99999526
193290301.0000,20.24929343,14.24475483,12.08415348,17.73578756,17.20278938,17.09589237,16.83969610,16.83986726,15.99993080,15.99997693,15.99999524
194605201.0000,20.79413086,16.21350186,12.29978270,16.92266094,17.59310013,16.99900203,16.83676768,16.85257091,15.99993067,15.99997673,15.99999522
195920101.0000,20.94770219,17.93794358,12.97388209,16.08996369,17.91906936,16.87982742,16.83306646,16.86429886,15.99993056,15.99997653,15.99999520
197235001.0000,20.98688562,19.20402750,14.01521712,15.30460807,18.15409413,16.75344344,16.82855617,16.87509488,15.99993048,15.99997634,15.99999518
198549901.0000,20.99643336,20.01845905,15.25728985,14.63870878,18.29356759,16.63302097,16.82394619,16.88500066,15.99993044,15.99997614,15.99999516
199864801.0000,20.99874204,20.49216287,16.52573969,14.15617749,18.33156064,16.53450934,16.82014313,16.89405799,15.99993045,15.99997594,15.99999514
201179701.0000,20.99931030,20.74735478,17.68068425,13.89641821,18.29815714,16.46671400,16.81737349,16.90231030,15.99993052,15.99997574,15.99999512
202494601.0000,20.99945396,20.87718500,18.64117772,13.87950388,18.21162468,16.43059736,16.81582750,16.90980003,15.99993066,15.99997554,15.99999509
203809501.0000,20.99949127,20.94060724,19.38356395,13.98611859,18.03862538,16.43096353,16.81558129,16.91650545,15.99993089,15.99997535,15.99999507
205124401.0000,20.99950131,20.97080587,19.92429915,14.25585862,17.73368069,16.43971759,16.81593396,16.92245527,15.99993124,15.99997515,15.99999505
206439301.0000,20.99950460,20.98501944,20.29951633,14.76372214,17.33485064,16.46172277,16.81673271,16.92770058,15.99993173,15.99997495,15.99999502
207754201.0000,20.99950609,20.99173501,20.55029532,15.43211953,16.89038521,16.50252732,16.81823008,16.93229126,15.99993239,15.99997474,15.99999500
209069101.0000,16.87849323,20.63613000,20.69876646,16.17651106,16.44726119,16.56669001,16.82053402,16.93623554,15.99993326,15.99997454,15.99999497
210384001.0000,13.36687679,19.53289538,20.70735419,16.93218286,16.04595889,16.66331568,16.82358892,16.93956770,15.99993440,15.99997434,15.99999495
211698901.0000,11.75013790,17.76318287,20.55902006,17.65200775,15.71872033,16.78264344,16.82760120,16.94232749,15.99993586,15.99997414,15.99999492
213013801.0000,11.20530203,15.78940517,20.07538349,18.30149112,15.49015911,16.90953021,16.83235432,16.94455041,15.99993776,15.99997393,15.99999489
214328701.0000,11.05173425,14.06280895,19.24030410,18.85307120,15.36260872,17.03066217,16.83716445,16.94626814,15.99994021,15.99997373,15.99999487
215643601.0000,11.01255465,12.79580471,18.11023487,19.27853995,15.34036445,17.12981447,16.84111761,16.94750940,15.99994330,15.99997353,15.99999484
216958501.0000,11.00301071,11.98096612,16.81755478,19.54619120,15.37854695,17.19796028,16.84397697,16.94829878,15.99994718,15.99997332,15.99999481
218273401.0000,11.00070449,11.50706612,15.51992162,19.63779418,15.47237728,17.23406187,16.84556292,16.94865628,15.99995201,15.99997311,15.99999479
219588301.0000,11.00013640,11.25176654,14.34783970,19.58533513,15.65553064,17.23326334,16.84582486,16.94880276,15.99995799,15.99997290,15.99999476
220903201.0000,10.99999103,11.12186839,13.37699952,19.42480465,15.96011974,17.22429737,16.84539090,16.94889915,15.99996534,15.99997269,15.99999473
222218101.0000,15.12096387,11.40875919,12.64015611,19.04904792,16.34827742,17.20190671,16.84452837,16.94892613,15.99997434,15.99997248,15.99999470
223533001.0000,18.63257417,12.48652135,12.18472680,18.46566366,16.77600406,17.16061800,16.84298659,16.94886576,15.99998530,15.99997227,15.99999467
224847901.0000,20.24931417,14.24477542,12.08419410,17.73589029,17.20283631,17.09601118,16.84065621,16.94870186,15.99999861,15.99997206,15.99999464
226162801.0000,20.79415303,16.21352488,12.29981887,16.92276454,17.59315052,16.99912513,16.83762121,16.94841999,16.00001471,15.99997184,15.99999462
227477701.0000,20.94772474,17.93797138,12.97391167,16.09006532,17.91912595,16.87995289,16.83376569,16.94800758,16.00003412,15.99997163,15.99999459
228792601.0000,20.98690815,19.20406065,14.01524322,15.30470520,18.15415852,16.75356941,16.82910751,16.94745447,16.00005745,15.99997141,15.99999455
230107501.0000,20.99645575,20.01849675,15.25731559,14.63879888,18.29364007,16.63314576,16.82437042,16.94677243,16.00008539,15.99997119,15.99999452
231422401.0000,20.99876433,20.49220376,16.52576804,14.15625804,18.33164173,16.53462972,16.82046972,16.94597891,16.00011877,15.99997097,15.99999449
232737301.0000,20.99933260,20.74739759,17.68071731,13.89648838,18.29824150,16.46682972,16.81763000,16.94506588,16.00015852,15.99997075,15.99999446
234052201.0000,20.99947629,20.87722882,18.64121641,13.87956333,18.21171502,16.43070775,16.81604301,16.94404819,16.00020575,15.99997052,15.99999443
235367101.0000,20.99951358,20.94065147,19.38360816,13.98617404,18.03872868,16.43106710,16.81578716,16.94292214,16.00026170,15.99997029,15.99999440
236682001.0000,20.99952356,20.97085018,19.92434811,14.25590508,17.73379378,16.43982001,16.81615689,16.94168326,16.00032779,15.99997006,15.99999436
237996901.0000,20.99952674,20.98506366,20.29956907,14.76375825,17.33496951,16.46182250,16.81696485,16.94032886,16.00040567,15.99996983,15.99999433
239311801.0000,20.99952814,20.99177906,20.55035072,15.43215049,16.89050571,16.50262317,16.81846326,16.93885809,16.00049719,15.99996959,15.99999430
240626701.0000,16.87851397,20.63617481,20.69882345,16.17654086,16.44737966,16.56677981,16.82076146,16.93727185,16.00060444,15.99996936,15.99999426
241941601.0000,13.36689364,19.53294194,20.70741345,16.93221427,16.04607250,16.66339820,16.82377692,16.93557257,16.00072980,15.99996911,15.99999423
243256501.0000,11.75015156,17.76322984,20.55908186,17.65204252,15.71882671,16.78272082,16.82768059,16.93376416,16.00087593,15.99996887,15.99999419
244571401.0000,11.20531409,15.78944976,20.07544789,18.30153055,15.49025814,16.90960479,16.83236178,16.93183444,16.00104581,15.99996862,15.99999416
245886301.0000,11.05174562,14.06284897,19.24037120,18.85311620,15.36269943,17.03073617,16.83713570,16.92978907,16.00124277,15.99996837,15.99999412
247201201.0000,11.01256574,12.79583955,18.11030337,19.27859113,15.34044543,17.12989108,16.84108067,16.92760656,16.00147051,15.99996811,15.99999408
248516101.0000,11.00302165,11.98099646,16.81762245,19.54624921,15.37862519,17.19804012,16.84394813,16.92529495,16.00173309,15.99996785,15.99999404
