time,H2939,H5197,H6358,H7847,H8895,H9681,H10390,H11229,H11707,H12049,H12242
55225801.00000,30.94286150,30.77606727,30.64033780,30.44522997,30.26636870,30.09241677,29.89423838,29.62555890,29.30306963,28.85270965,28.14784137
56540701.00000,30.94286069,30.77606651,30.64033713,30.44522942,30.26636823,30.09241640,29.89423809,29.62555868,29.30306945,28.85270950,28.14784127
57855601.00000,30.94286007,30.77606594,30.64033661,30.44522899,30.26636789,30.09241612,29.89423787,29.62555850,29.30306930,28.85270938,28.14784118
59170501.00000,30.94285929,30.77606520,30.64033594,30.44522844,30.26636742,30.09241574,29.89423757,29.62555826,29.30306910,28.85270921,28.14784107
60485401.00000,30.94285868,30.77606464,30.64033544,30.44522802,30.26636707,30.09241545,29.89423734,29.62555808,29.30306894,28.85270909,28.14784097
61800301.00000,30.94285791,30.77606392,30.64033478,30.44522747,30.26636661,30.09241507,29.89423703,29.62555783,29.30306873,28.85270891,28.14784085
63115201.00000,30.94285732,30.77606338,30.64033428,30.44522705,30.26636626,30.09241478,29.89423679,29.62555764,29.30306857,28.85270878,28.14784075
64430101.00000,30.94285657,30.77606267,30.64033364,30.44522651,30.26636580,30.09241439,29.89423647,29.62555738,29.30306834,28.85270859,28.14784062
65745001.00000,30.94285600,30.77606214,30.64033315,30.44522609,30.26636545,30.09241410,29.89423623,29.62555718,29.30306817,28.85270845,28.14784051
67059901.00000,30.94285527,30.77606145,30.64033252,30.44522555,30.26636499,30.09241371,29.89423591,29.62555691,29.30306794,28.85270826,28.14784037
68374801.00000,30.94285470,30.77606092,30.64033204,30.44522515,30.26636464,30.09241341,29.89423566,29.62555670,29.30306776,28.85270811,28.14784027
69689701.00000,30.94285399,30.77606025,30.64033142,30.44522461,30.26636418,30.09241302,29.89423533,29.62555642,29.30306752,28.85270791,28.14784012
71004601.00000,30.94285344,30.77605973,30.64033095,30.44522421,30.26636383,30.09241272,29.89423508,29.62555621,29.30306733,28.85270775,28.14784001
72319501.00000,30.94285274,30.77605907,30.64033034,30.44522368,30.26636337,30.09241232,29.89423474,29.62555592,29.30306709,28.85270755,28.14783985
73634401.00000,30.94285220,30.77605856,30.64032987,30.44522328,30.26636302,30.09241202,29.89423448,29.62555571,29.30306689,28.85270738,28.14783974
74949301.00000,30.94285152,30.77605791,30.64032927,30.44522275,30.26636256,30.09241163,29.89423414,29.62555541,29.30306664,28.85270717,28.14783958
76264201.00000,30.94285099,30.77605742,30.64032881,30.44522235,30.26636222,30.09241132,29.89423388,29.62555519,29.30306644,28.85270701,28.14783946
77579101.00000,30.94285032,30.77605678,30.64032822,30.44522183,30.26636176,30.09241092,29.89423353,29.62555489,29.30306618,28.85270679,28.14783930
78894001.00000,30.94284981,30.77605629,30.64032776,30.44522144,30.26636141,30.09241062,29.89423327,29.62555467,29.30306598,28.85270662,28.14783917
80208901.00000,30.94284915,30.77605567,30.64032718,30.44522092,30.26636095,30.09241022,29.89423292,29.62555436,29.30306572,28.85270639,28.14783901
81523801.00000,30.94284864,30.77605519,30.64032673,30.44522053,30.26636061,30.09240991,29.89423266,29.62555413,29.30306551,28.85270622,28.14783888
82838701.00000,30.94284800,30.77605457,30.64032616,30.44522002,30.26636015,30.09240951,29.89423230,29.62555383,29.30306524,28.85270599,28.14783871
84153601.00000,30.94284750,30.77605410,30.64032572,30.44521964,30.26635981,30.09240920,29.89423203,29.62555359,29.30306503,28.85270582,28.14783858
85468501.00000,30.94284687,30.77605350,30.64032515,30.44521913,30.26635936,30.09240880,29.89423168,29.62555328,29.30306476,28.85270558,28.14783841
86783401.00000,30.94284639,30.77605303,30.64032472,30.44521875,30.26635901,30.09240850,29.89423141,29.62555304,29.30306455,28.85270540,28.14783828
88098301.00000,30.94284576,30.77605244,30.64032416,30.44521824,30.26635856,30.09240809,29.89423105,29.62555273,29.30306427,28.85270517,28.14783810
89413201.00000,30.94284529,30.77605198,30.64032373,30.44521786,30.26635822,30.09240779,29.89423078,29.62555249,29.30306405,28.85270499,28.14783797
90728101.00000,30.94284468,30.77605140,30.64032318,30.44521737,30.26635777,30.09240738,29.89423042,29.62555217,29.30306377,28.85270475,28.14783779
92043001.00000,30.94284421,30.77605095,30.64032276,30.44521699,30.26635743,30.09240708,29.89423015,29.62555193,29.30306356,28.85270456,28.14783765
93357901.00000,30.94284361,30.77605037,30.64032221,30.44521650,30.26635698,30.09240667,29.89422979,29.62555161,29.30306327,28.85270432,28.14783748
94672801.00000,30.94284315,30.77604993,30.64032179,30.44521612,30.26635665,30.09240637,29.89422951,29.62555137,29.30306305,28.85270414,28.14783734
95987701.00000,30.94284256,30.77604936,30.64032126,30.44521563,30.26635620,30.09240596,29.89422915,29.62555104,29.30306277,28.85270389,28.14783716
97302601.00000,30.94284210,30.77604893,30.64032084,30.44521526,30.26635586,30.09240566,29.89422887,29.62555080,29.30306255,28.85270371,28.14783702
98617501.00000,30.94284152,30.77604836,30.64032031,30.44521478,30.26635542,30.09240525,29.89422851,29.62555048,29.30306226,28.85270346,28.14783684
99932401.00000,30.94284108,30.77604794,30.64031991,30.44521441,30.26635509,30.09240495,29.89422824,29.62555023,29.30306204,28.85270327,28.14783670
101247301.0000,30.94284050,30.77604738,30.64031938,30.44521393,30.26635465,30.09240455,29.89422787,29.62554991,29.30306175,28.85270303,28.14783651
102562201.0000,30.94284006,30.77604696,30.64031898,30.44521356,30.26635431,30.09240424,29.89422760,29.62554966,29.30306152,28.85270284,28.14783637
103877101.0000,30.94283950,30.77604642,30.64031846,30.44521309,30.26635387,30.09240384,29.89422723,29.62554933,29.30306123,28.85270259,28.14783619
105192001.0000,30.94283907,30.77604600,30.64031806,30.44521273,30.26635354,30.09240354,29.89422696,29.62554908,29.30306101,28.85270240,28.14783605
106506901.0000,30.94283851,30.77604546,30.64031755,30.44521226,30.26635311,30.09240314,29.89422659,29.62554876,29.30306072,28.85270215,28.14783586
107821801.0000,30.94283809,30.77604505,30.64031716,30.44521190,30.26635278,30.09240284,29.89422632,29.62554851,29.30306049,28.85270196,28.14783572
109136701.0000,30.94283754,30.77604452,30.64031665,30.44521143,30.26635235,30.09240244,29.89422595,29.62554818,29.30306020,28.85270171,28.14783553
110451601.0000,30.94283712,30.77604411,30.64031626,30.44521107,30.26635202,30.09240214,29.89422568,29.62554793,29.30305998,28.85270152,28.14783539
111766501.0000,30.94283658,30.77604359,30.64031576,30.44521061,30.26635159,30.09240174,29.89422531,29.62554761,29.30305968,28.85270127,28.14783520
113081401.0000,30.94283616,30.77604319,30.64031538,30.44521026,30.26635126,30.09240144,29.89422504,29.62554736,29.30305946,28.85270108,28.14783506
114396301.0000,30.94283563,30.77604267,30.64031488,30.44520980,30.26635083,30.09240104,29.89422468,29.62554703,29.30305916,28.85270083,28.14783487
115711201.0000,30.94283522,30.77604227,30.64031450,30.44520945,30.26635051,30.09240074,29.89422440,29.62554678,29.30305894,28.85270063,28.14783473
117026101.0000,30.94283470,30.77604176,30.64031401,30.44520899,30.26635009,30.09240035,29.89422404,29.62554645,29.30305865,28.85270038,28.14783454
118341001.0000,30.94283429,30.77604137,30.64031364,30.44520865,30.26634977,30.09240005,29.89422377,29.62554620,29.30305842,28.85270019,28.14783440
119655901.0000,30.94283378,30.77604087,30.64031315,30.44520819,30.26634934,30.09239966,29.89422340,29.62554588,29.30305813,28.85269994,28.14783421
120970801.0000,30.94283338,30.77604048,30.64031278,30.44520785,30.26634902,30.09239936,29.89422313,29.62554563,29.30305790,28.85269975,28.14783407
122285701.0000,30.94283287,30.77603998,30.64031230,30.44520740,30.26634860,30.09239897,29.89422277,29.62554530,29.30305761,28.85269950,28.14783388
123600601.0000,30.94283247,30.77603960,30.64031194,30.44520706,30.26634829,30.09239868,29.89422250,29.62554505,29.30305739,28.85269931,28.14783374
124915501.0000,30.94283197,30.77603910,30.64031146,30.44520662,30.26634787,30.09239829,29.89422214,29.62554473,29.30305709,28.85269906,28.14783355
126230401.0000,30.94283158,30.77603873,30.64031110,30.44520628,30.26634756,30.09239799,29.89422187,29.62554448,29.30305687,28.85269887,28.14783341
127545301.0000,30.94283108,30.77603824,30.64031063,30.44520584,30.26634714,30.09239761,29.89422151,29.62554416,29.30305658,28.85269862,28.14783323
128860201.0000,30.94283069,30.77603787,30.64031027,30.44520550,30.26634683,30.09239732,29.89422124,29.62554391,29.30305635,28.85269843,28.14783308
130175101.0000,30.94283020,30.77603738,30.64030980,30.44520507,30.26634642,30.09239693,29.89422088,29.62554359,29.30305606,28.85269818,28.14783290
131490001.0000,30.94282982,30.77603701,30.64030944,30.44520473,30.26634611,30.09239664,29.89422061,29.62554334,29.30305584,28.85269799,28.14783275
132804901.0000,30.94282933,30.77603654,30.64030898,30.44520430,30.26634570,30.09239626,29.89422026,29.62554302,29.30305555,28.85269774,28.14783257
134119801.0000,30.94282896,30.77603617,30.64030863,30.44520397,30.26634539,30.09239597,29.89421999,29.62554277,29.30305533,28.85269755,28.14783243
135434701.0000,30.94282848,30.77603570,30.64030818,30.44520354,30.26634498,30.09239559,29.89421964,29.62554245,29.30305504,28.85269730,28.14783224
136749601.0000,30.94282810,30.77603534,30.64030783,30.44520322,30.26634468,30.09239530,29.89421937,29.62554220,29.30305482,28.85269711,28.14783210
138064501.0000,30.94282763,30.77603487,30.64030737,30.44520279,30.26634428,30.09239492,29.89421902,29.62554188,29.30305453,28.85269686,28.14783192
139379401.0000,30.94282726,30.77603451,30.64030703,30.44520246,30.26634397,30.09239464,29.89421875,29.62554164,29.30305431,28.85269667,28.14783178
140694301.0000,30.94282679,30.77603405,30.64030658,30.44520204,30.26634357,30.09239426,29.89421840,29.62554132,29.30305402,28.85269643,28.14783159
142009201.0000,30.94282642,30.77603370,30.64030624,30.44520172,30.26634327,30.09239398,29.89421814,29.62554108,29.30305380,28.85269624,28.14783145
143324101.0000,30.94282596,30.77603324,30.64030579,30.44520130,30.26634287,30.09239360,29.89421779,29.62554076,29.30305351,28.85269600,28.14783127
144639001.0000,30.94282560,30.77603289,30.64030546,30.44520098,30.26634257,30.09239332,29.89421753,29.62554052,29.30305329,28.85269581,28.14783113
145953901.0000,30.94282514,30.77603243,30.64030502,30.44520057,30.26634218,30.09239295,29.89421718,29.62554020,29.30305301,28.85269556,28.14783095
147268801.0000,30.94282478,30.77603209,30.64030468,30.44520025,30.26634188,30.09239267,29.89421692,29.62553996,29.30305279,28.85269538,28.14783081
148583701.0000,30.94282432,30.77603164,30.64030424,30.44519984,30.26634149,30.09239230,29.89421657,29.62553965,29.30305251,28.85269514,28.14783062
149898601.0000,30.94282397,30.77603129,30.64030391,30.44519952,30.26634119,30.09239202,29.89421631,29.62553941,29.30305229,28.85269495,28.14783049
151213501.0000,30.94282352,30.77603085,30.64030348,30.44519911,30.26634080,30.09239165,29.89421597,29.62553909,29.30305201,28.85269471,28.14783030
152528401.0000,30.94282317,30.77603051,30.64030315,30.44519880,30.26634051,30.09239138,29.89421571,29.62553886,29.30305179,28.85269452,28.14783017
153843301.0000,30.94282272,30.77603007,30.64030272,30.44519840,30.26634012,30.09239101,29.89421537,29.62553854,29.30305151,28.85269428,28.14782999
155158201.0000,30.94282238,30.77602973,30.64030240,30.44519809,30.26633983,30.09239074,29.89421511,29.62553831,29.30305130,28.85269410,28.14782985
156473101.0000,30.94282194,30.77602930,30.64030197,30.44519769,30.26633945,30.09239037,29.89421477,29.62553800,29.30305102,28.85269386,28.14782967
157788001.0000,30.94282159,30.77602896,30.64030165,30.44519738,30.26633916,30.09239010,29.89421452,29.62553776,29.30305080,28.85269368,28.14782953
159102901.0000,30.94282115,30.77602853,30.64030123,30.44519698,30.26633878,30.09238974,29.89421418,29.62553745,29.30305052,28.85269344,28.14782936
160417801.0000,30.94282082,30.77602820,30.64030091,30.44519668,30.26633849,30.09238947,29.89421392,29.62553722,29.30305031,28.85269326,28.14782922
161732701.0000,30.94282038,30.77602777,30.64030049,30.44519628,30.26633812,30.09238911,29.89421359,29.62553691,29.30305004,28.85269302,28.14782904
163047601.0000,30.94282005,30.77602744,30.64030017,30.44519598,30.26633783,30.09238884,29.89421334,29.62553668,29.30304982,28.85269284,28.14782891
164362501.0000,30.94281962,30.77602702,30.64029976,30.44519559,30.26633746,30.09238849,29.89421300,29.62553637,29.30304955,28.85269260,28.14782873
165677401.0000,30.94281928,30.77602670,30.64029944,30.44519529,30.26633717,30.09238822,29.89421275,29.62553614,29.30304934,28.85269242,28.14782860
166992301.0000,30.94281886,30.77602628,30.64029904,30.44519490,30.26633680,30.09238787,29.89421242,29.62553584,29.30304906,28.85269219,28.14782842
168307201.0000,30.94281853,30.77602595,30.64029872,30.44519460,30.26633652,30.09238760,29.89421217,29.62553561,29.30304886,28.85269201,28.14782829
169622101.0000,30.94281810,30.77602554,30.64029832,30.44519421,30.26633615,30.09238725,29.89421184,29.62553530,29.30304858,28.85269178,28.14782811
170937001.0000,30.94281778,30.77602522,30.64029801,30.44519392,30.26633587,30.09238698,29.89421159,29.62553508,29.30304838,28.85269160,28.14782798
172251901.0000,30.94281736,30.77602481,30.64029760,30.44519353,30.26633550,30.09238664,29.89421127,29.62553478,29.30304810,28.85269137,28.14782781
173566801.0000,30.94281704,30.77602449,30.64029730,30.44519324,30.26633523,30.09238637,29.89421102,29.62553455,29.30304790,28.85269119,28.14782767
174881701.0000,30.94281662,30.77602408,30.64029690,30.44519286,30.26633486,30.09238603,29.89421069,29.62553425,29.30304763,28.85269096,28.14782750
176196601.0000,30.94281630,30.77602377,30.64029659,30.44519257,30.26633459,30.09238577,29.89421045,29.62553402,29.30304742,28.85269078,28.14782737
177511501.0000,30.94281589,30.77602336,30.64029620,30.44519219,30.26633423,30.09238542,29.89421013,29.62553373,29.30304716,28.85269055,28.14782720
178826401.0000,30.94281557,30.77602305,30.64029589,30.44519191,30.26633396,30.09238516,29.89420988,29.62553350,29.30304695,28.85269038,28.14782707
180141301.0000,30.94281516,30.77602265,30.64029550,30.44519153,30.26633360,30.09238482,29.89420956,29.62553321,29.30304669,28.85269015,28.14782690
181456201.0000,30.94281485,30.77602234,30.64029520,30.44519125,30.26633333,30.09238457,29.89420932,29.62553298,29.30304648,28.85268998,28.14782677
182771101.0000,30.94281444,30.77602194,30.64029481,30.44519087,30.26633297,30.09238423,29.89420900,29.62553269,29.30304622,28.85268975,28.14782660
184086001.0000,30.94281413,30.77602164,30.64029452,30.44519059,30.26633270,30.09238397,29.89420876,29.62553247,29.30304602,28.85268958,28.14782647
185400901.0000,30.94281373,30.77602124,30.64029413,30.44519022,30.26633235,30.09238363,29.89420844,29.62553218,29.30304576,28.85268935,28.14782630
186715801.0000,30.94281342,30.77602094,30.64029383,30.44518994,30.26633208,30.09238338,29.89420820,29.62553196,29.30304556,28.85268918,28.14782617
188030701.0000,30.94281302,30.77602055,30.64029345,30.44518957,30.26633173,30.09238305,29.89420789,29.62553167,29.30304529,28.85268896,28.14782601
189345601.0000,30.94281272,30.77602025,30.64029316,30.44518929,30.26633146,30.09238279,29.89420765,29.62553145,29.30304510,28.85268879,28.14782588
190660501.0000,30.94281232,30.77601986,30.64029278,30.44518893,30.26633111,30.09238246,29.89420734,29.62553116,29.30304484,28.85268857,28.14782571
191975401.0000,30.94281202,30.77601956,30.64029249,30.44518865,30.26633085,30.09238221,29.89420710,29.62553094,29.30304464,28.85268840,28.14782558
193290301.0000,30.94281163,30.77601917,30.64029211,30.44518829,30.26633050,30.09238188,29.89420679,29.62553066,29.30304438,28.85268818,28.14782542
194605201.0000,30.94281133,30.77601888,30.64029182,30.44518802,30.26633024,30.09238163,29.89420656,29.62553044,29.30304418,28.85268801,28.14782529
195920101.0000,30.94281094,30.77601850,30.64029145,30.44518766,30.26632990,30.09238130,29.89420625,29.62553016,29.30304393,28.85268779,28.14782513
197235001.0000,30.94281064,30.77601820,30.64029117,30.44518739,30.26632964,30.09238106,29.89420602,29.62552994,29.30304373,28.85268762,28.14782500
198549901.0000,30.94281026,30.77601782,30.64029080,30.44518703,30.26632930,30.09238073,29.89420571,29.62552966,29.30304348,28.85268740,28.14782484
199864801.0000,30.94280996,30.77601753,30.64029051,30.44518676,30.26632904,30.09238049,29.89420548,29.62552944,29.30304328,28.85268724,28.14782472
201179701.0000,30.94280958,30.77601716,30.64029014,30.44518641,30.26632870,30.09238016,29.89420517,29.62552916,29.30304303,28.85268702,28.14782455
202494601.0000,30.94280928,30.77601687,30.64028986,30.44518614,30.26632845,30.09237992,29.89420494,29.62552895,29.30304284,28.85268686,28.14782443
203809501.0000,30.94280890,30.77601649,30.64028950,30.44518579,30.26632811,30.09237960,29.89420464,29.62552867,29.30304259,28.85268664,28.14782427
205124401.0000,30.94280861,30.77601621,30.64028922,30.44518552,30.26632786,30.09237936,29.89420441,29.62552846,29.30304239,28.85268648,28.14782415
206439301.0000,30.94280824,30.77601584,30.64028886,30.44518517,30.26632752,30.09237904,29.89420411,29.62552819,29.30304214,28.85268626,28.14782399
207754201.0000,30.94280795,30.77601555,30.64028858,30.44518491,30.26632727,30.09237880,29.89420388,29.62552798,29.30304195,28.85268610,28.14782387
209069101.0000,30.94280758,30.77601519,30.64028822,30.44518456,30.26632694,30.09237848,29.89420359,29.62552770,29.30304171,28.85268589,28.14782371
210384001.0000,30.94280729,30.77601491,30.64028794,30.44518430,30.26632669,30.09237824,29.89420336,29.62552749,29.30304152,28.85268573,28.14782358
211698901.0000,30.94280692,30.77601454,30.64028759,30.44518396,30.26632636,30.09237793,29.89420306,29.62552722,29.30304127,28.85268551,28.14782343
213013801.0000,30.94280663,30.77601426,30.64028731,30.44518370,30.26632611,30.09237769,29.89420284,29.62552701,29.30304108,28.85268535,28.14782331
214328701.0000,30.94280627,30.77601390,30.64028696,30.44518336,30.26632578,30.09237738,29.89420255,29.62552674,29.30304084,28.85268514,28.14782315
215643601.0000,30.94280598,30.77601362,30.64028669,30.44518310,30.26632554,30.09237714,29.89420232,29.62552653,29.30304065,28.85268498,28.14782303
216958501.0000,30.94280562,30.77601326,30.64028634,30.44518276,30.26632521,30.09237683,29.89420203,29.62552627,29.30304041,28.85268478,28.14782287
218273401.0000,30.94280534,30.77601299,30.64028607,30.44518251,30.26632497,30.09237660,29.89420181,29.62552606,29.30304022,28.85268462,28.14782275
219588301.0000,30.94280498,30.77601263,30.64028572,30.44518217,30.26632464,30.09237629,29.89420152,29.62552579,29.30303998,28.85268441,28.14782260
220903201.0000,30.94280470,30.77601236,30.64028545,30.44518191,30.26632440,30.09237606,29.89420130,29.62552559,29.30303980,28.85268425,28.14782248
222218101.0000,30.94280434,30.77601200,30.64028511,30.44518158,30.26632408,30.09237575,29.89420101,29.62552532,29.30303956,28.85268405,28.14782233
223533001.0000,30.94280406,30.77601173,30.64028484,30.44518133,30.26632384,30.09237552,29.89420079,29.62552512,29.30303937,28.85268389,28.14782221
224847901.0000,30.94280371,30.77601138,30.64028450,30.44518100,30.26632352,30.09237522,29.89420050,29.62552486,29.30303913,28.85268368,28.14782206
226162801.0000,30.94280343,30.77601111,30.64028424,30.44518075,30.26632328,30.09237499,29.89420029,29.62552466,29.30303895,28.85268353,28.14782194
227477701.0000,30.94280308,30.77601076,30.64028390,30.44518042,30.26632297,30.09237469,29.89420000,29.62552439,29.30303871,28.85268333,28.14782179
228792601.0000,30.94280281,30.77601050,30.64028364,30.44518017,30.26632273,30.09237446,29.89419979,29.62552420,29.30303853,28.85268317,28.14782167
230107501.0000,30.94280246,30.77601015,30.64028330,30.44517984,30.26632241,30.09237416,29.89419950,29.62552393,29.30303830,28.85268297,28.14782152
231422401.0000,30.94280219,30.77600989,30.64028304,30.44517959,30.26632218,30.09237394,29.89419929,29.62552374,29.30303812,28.85268282,28.14782141
232737301.0000,30.94280184,30.77600954,30.64028270,30.44517927,30.26632187,30.09237364,29.89419901,29.62552348,29.30303789,28.85268261,28.14782126
234052201.0000,30.94280157,30.77600928,30.64028244,30.44517903,30.26632163,30.09237341,29.89419880,29.62552328,29.30303771,28.85268246,28.14782114
235367101.0000,30.94280123,30.77600894,30.64028211,30.44517870,30.26632132,30.09237312,29.89419852,29.62552302,29.30303747,28.85268226,28.14782099
236682001.0000,30.94280096,30.77600868,30.64028186,30.44517846,30.26632109,30.09237289,29.89419831,29.62552283,29.30303730,28.85268211,28.14782088
237996901.0000,30.94280062,30.77600834,30.64028152,30.44517814,30.26632078,30.09237260,29.89419803,29.62552257,29.30303707,28.85268191,28.14782073
239311801.0000,30.94280035,30.77600808,30.64028127,30.44517790,30.26632055,30.09237238,29.89419782,29.62552238,29.30303689,28.85268176,28.14782062
240626701.0000,30.94280001,30.77600774,30.64028094,30.44517758,30.26632024,30.09237209,29.89419754,29.62552212,29.30303666,28.85268157,28.14782047
241941601.0000,30.94279975,30.77600749,30.64028069,30.44517734,30.26632001,30.09237187,29.89419734,29.62552193,29.30303649,28.85268142,28.14782036
243256501.0000,30.94279941,30.77600715,30.64028036,30.44517702,30.26631971,30.09237158,29.89419706,29.62552168,29.30303626,28.85268122,28.14782021
244571401.0000,30.94279915,30.77600690,30.64028011,30.44517679,30.26631948,30.09237136,29.89419685,29.62552149,29.30303608,28.85268107,28.14782010
245886301.0000,30.94279882,30.77600657,30.64027979,30.44517647,30.26631918,30.09237107,29.89419658,29.62552124,29.30303586,28.85268088,28.14781996
247201201.0000,30.94279856,30.77600631,30.64027954,30.44517624,30.26631896,30.09237085,29.89419638,29.62552105,29.30303568,28.85268073,28.14781985
248516101.0000,30.94279823,30.77600599,30.64027922,30.44517593,30.26631866,30.09237057,29.89419611,29.62552080,29.30303546,28.85268054,28.14781970
